Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold All,-0.002459359,0.007566987,0.997543663,0.982857972,1.012449,-0.05628404,0.05176921,0.994387406,0.984348607,1.004529,-0.001503068,0.000932234,0.980944622,0.958268608,1.004157,5.99624E-05,0.000841228,1.000389831,0.989725655,1.011169
Cold Female,-0.005061033,0.009673916,0.994951752,0.976264321,1.013997,-0.03716288,0.06574876,0.996290609,0.983534026,1.009213,-0.003543165,0.001191525,0.955660541,0.927515761,0.984659,0.001050892,0.001072156,1.006854181,0.993194792,1.020701
Cold Male,0.000720039,0.011017799,1.000720298,0.979341524,1.022566,-0.0815765,0.07601767,0.991875533,0.977206671,1.006765,0.001075589,0.001356847,1.013862748,0.979931078,1.048969,-0.001217679,0.001229383,0.992116327,0.976698519,1.007778
Age 0-10 All,0.0188263,0.02810477,1.019004632,0.964390437,1.076712,0.2071046,0.2370052,1.02092641,0.974585956,1.069470,0.000718627,0.003398635,1.00924086,0.926754552,1.099069,0.003379007,0.00348647,1.02220652,0.977796134,1.068634
Age 0-10 Female,0.02050201,0.03879292,1.02071362,0.945981645,1.101349,0.3981527,0.3183992,1.040618523,0.977662292,1.107629,-0.004100748,0.004753114,0.948864213,0.842201739,1.069035,0.004743798,0.004777314,1.031315,0.970418077,1.096033
Age 0-10 Male,0.01737045,0.03644362,1.017522194,0.947376167,1.092862,0.0457255,0.3138245,1.00458302,0.944653532,1.068314,0.004394864,0.004366473,1.057866622,0.948103301,1.180337,0.002120825,0.004547024,1.013880819,0.956816431,1.074349
Age 11-60 All,-5.12317E-05,0.010176663,0.99994877,0.980201132,1.020094,-0.009593193,0.088163168,0.999041141,0.981926029,1.016455,-0.001523944,0.001214414,0.980682537,0.951254441,1.011021,0.000710051,0.001278637,1.004625996,0.988393381,1.021125
Age 11-60 Female,0.004569115,0.013144888,1.004579569,0.979028167,1.030798,0.01803223,0.11289204,1.00180485,0.979881516,1.024219,-0.001132979,0.00156816,0.985602518,0.947579795,1.025151,0.001492262,0.001650989,1.009746898,0.98873009,1.031210
Age 11-60 Male,-0.00684181,0.01566123,0.993181542,0.96315799,1.024141,-0.05057164,0.13743328,0.994955602,0.968512309,1.022121,-0.002106007,0.001869934,0.973403204,0.928792621,1.020156,-0.00042929,0.001969355,0.997213505,0.972505092,1.022550
Age 60+All,-0.008766043,0.009502012,0.991272267,0.972981718,1.009907,-0.09486317,0.08196526,0.990558536,0.974772169,1.006601,-0.000498525,0.001135902,0.993639201,0.96572262,1.022363,-0.000120165,0.001193059,0.999219231,0.984146373,1.014523
