Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Male,0.017539368,0.007339474,1.017694086,1.003158978,1.032440,0.23446903,0.084958157,1.023723943,1.006818243,1.040914,-0.000585973,0.000864429,0.9925276,0.971234586,1.014287,0.001929803,0.001021499,1.012622722,0.999529933,1.025887
Cold All,0.016448002,0.006024233,1.016584015,1.004651289,1.028658,0.08374357,0.04151337,1.00840952,1.000237765,1.016648,-0.001438895,0.000747544,0.981750712,0.96351016,1.000337,0.001544647,0.000670201,1.010090774,1.001502969,1.018752
Cold Female,0.025214842,0.008129836,1.025535425,1.00932356,1.042008,0.11104222,0.05594529,1.011166103,1.000138955,1.022315,-0.001988154,0.001010335,0.974872709,0.950472874,0.999899,0.001848819,0.000905515,1.012089823,1.000481176,1.023833
Cold Male,0.00668279,0.008266829,1.00670517,0.990524979,1.023150,0.05221357,0.05704276,1.005235012,0.994058696,1.016537,-0.000818926,0.001023611,0.989572497,0.964483463,1.015314,0.00121414,0.000918344,1.007923133,0.996199453,1.019785
Age 0-10 All,0.03710602,0.03226555,1.037803043,0.974204091,1.105554,0.1978791,0.2741872,1.019984988,0.966617146,1.076299,0.001339675,0.003858843,1.017295708,0.923427662,1.120706,0.003366568,0.004057627,1.022123874,0.970628503,1.076351
Age 0-10 Female,0.09147188,0.04021995,1.095785963,1.01272101,1.185664,0.4358955,0.3599342,1.04455353,0.973402558,1.120905,0.0040337,0.004915539,1.052987498,0.930819701,1.191190,0.010809012,0.005064977,1.072785544,1.005747223,1.144292
Age 0-10 Male,-0.01814563,0.04208851,0.982018011,0.904259313,1.066463,-0.00401157,0.341358,0.999598923,0.934907837,1.068766,-0.001103321,0.004932772,0.985976746,0.871206808,1.115866,-0.004060801,0.005302073,0.973950102,0.910334089,1.042012
Age 11-60 All,0.01958191,0.008165697,1.019774893,1.003583549,1.036227,0.14061196,0.07140968,1.01416052,1.000064901,1.028455,-0.00024273,0.00097534,0.996897878,0.972800478,1.021592,0.00201783,0.001022821,1.013202286,1.000085159,1.026491
Age 11-60 Female,0.02236011,0.01146785,1.022611971,0.999883131,1.045857,0.15037514,0.09944797,1.015151146,0.995555618,1.035132,0.000934811,0.001362478,1.012037451,0.978028693,1.047229,0.001668534,0.001438156,1.010904496,0.992551244,1.029597
Age 11-60 Male,0.01692671,0.01128678,1.017070778,0.994818094,1.039821,0.13089591,0.09948431,1.013175635,0.993611162,1.033125,-0.001393582,0.00135373,0.982320303,0.949518535,1.016255,0.002338859,0.001411638,1.015318731,0.997222181,1.033744
Age 60+All,0.008688125,0.007296298,1.008725976,0.994403102,1.023255,0.07198976,0.06363924,1.007224951,0.99473957,1.019867,0.000288498,0.000878298,1.003699595,0.981825218,1.026061,0.000610027,0.000913633,1.003973046,0.992354864,1.015727
Age 60+ Female,0.008049187,0.009540441,1.008081669,0.989406434,1.027109,0.05589323,0.0833442,1.005604972,0.989311393,1.022167,0.000364609,0.001152578,1.004677903,0.97604276,1.034153,0.000356053,0.001196201,1.002317023,0.987157909,1.017709
Age 60+ Male,0.009437588,0.0105475,1.009482262,0.988827371,1.030569,0.09063334,0.09181559,1.00910453,0.991107255,1.027429,0.000188725,0.001263677,1.002418596,0.971137278,1.034708,0.000923188,0.001318364,1.006018759,0.989262822,1.023059
All: LAG 4,-0.001395584,0.005564491,0.998605389,0.987773374,1.009556,0.008654708,0.048161656,1.000865845,0.99146244,1.010358,6.0142E-05,0.000666062,1.000770113,0.984186028,1.017634,-0.000619496,0.00069897,0.99598137,0.987151646,1.004890
Female,0.001492168,0.007487861,1.001493282,0.986902489,1.016300,0.01231195,0.06470821,1.001231953,0.988613706,1.014011,0.0001824,0.000897464,1.002337446,0.980021422,1.025162,-0.00040925,0.000941685,0.99734341,0.985449697,1.009381
Male,-0.004590706,0.007760029,0.995419815,0.980394377,1.010676,0.004538169,0.067286257,1.00045392,0.987346449,1.013735,-6.87693E-05,0.000927523,0.99912014,0.976139335,1.022642,-0.000848615,0.000973585,0.994499186,0.982240125,1.006911
Warm All,0.00163107,0.005183239,1.001632401,0.991508182,1.011860,0.04311323,0.05939446,1.00432063,0.992696808,1.016081,0.000220015,0.000615138,1.002820159,0.987462863,1.018416,-0.000182919,0.000723576,0.998811735,0.989646639,1.008062
Warm Female,0.001867328,0.006943677,1.001869073,0.988326393,1.015597,0.02843698,0.07941392,1.002847745,0.987359145,1.018579,0.00093731,0.000823955,1.012069833,0.991363699,1.033208,-0.00058609,0.000971349,0.996197661,0.983945694,1.008602
Warm Male,0.001352074,0.007363379,1.001352988,0.987005025,1.015910,0.06016906,0.08457008,1.006035044,0.989496719,1.022850,-0.000576889,0.000873856,0.992643018,0.971117827,1.014645,0.000263682,0.001025412,1.001715399,0.988714353,1.014887
Cold All,-0.00597317,0.006093932,0.994044634,0.982242283,1.005989,-0.003885596,0.041530339,0.999611516,0.991507758,1.007782,-0.000260202,0.000745602,0.996674955,0.978204776,1.015494,-0.000825554,0.000678769,0.994648271,0.986084116,1.003287
