Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Female,0.011681446,0.006862607,1.011749941,0.998232301,1.025451,0.01650292,0.07867725,1.001651654,0.98632393,1.017218,0.002128725,0.000810764,1.027622291,1.006931131,1.048739,0.002448202,0.000968402,1.016040604,1.003582273,1.028654
Warm Male,0.022974574,0.006979319,1.023240522,1.009338442,1.037334,0.15087879,0.08049359,1.015202276,0.999311373,1.031346,3.32E-03,8.28E-04,1.043362134,1.021924322,1.065250,3.87E-03,9.82E-04,1.025445522,1.012695422,1.038356
Cold All,-0.01004361,0.00915476,0.990006659,0.972401067,1.007931,-0.10909777,0.06165431,0.989149519,0.977268326,1.001175,-0.004172004,0.001104203,0.947999173,0.922097889,0.974628,-0.000854101,0.001016099,0.994463725,0.981673253,1.007421
Cold Female,-0.011822554,0.009579388,0.988247058,0.969865231,1.006977,-0.14805052,0.06465791,0.985304004,0.972896084,0.997870,-0.002295535,0.001158142,0.971044631,0.943236423,0.999673,-0.001166398,0.001064902,0.992447081,0.979073622,1.006003
Cold Male,-0.008085827,0.009935156,0.991946775,0.972817545,1.011452,-0.06575466,0.06674377,0.993446105,0.980534699,1.006528,-6.28E-03,1.19E-03,0.92277506,0.895528881,0.950850,-0.000505084,0.001100732,0.99672234,0.982842527,1.010798
Age 0-10 All,0.0558561,0.03286217,1.057445506,0.991482726,1.127797,0.1809846,0.2710583,1.01826323,0.965577446,1.073824,-0.005017019,0.004018416,0.937800684,0.847866687,1.037274,0.007943743,0.004019424,1.052990624,1.000426959,1.108316
Age 0-10 Female,-0.01109662,0.04073918,0.98896472,0.913067551,1.071171,-0.4119706,0.3503452,0.959640005,0.895955333,1.027851,-0.008253944,0.005028124,0.899739067,0.793107855,1.020707,0.000153107,0.004995123,1.00099569,0.939279047,1.066768
Age 0-10 Male,0.121660467,0.040481401,1.129370578,1.043225046,1.222630,0.67425104,0.32189062,1.069750137,1.00434395,1.139416,-0.001736552,0.004882117,0.978017353,0.865272825,1.105452,0.015678231,0.004944247,1.107282152,1.039686052,1.179273
Age 11-60 All,0.007504507,0.00835108,1.007532736,0.991175556,1.024160,-0.07861881,0.071649,0.992168943,0.978333089,1.006200,0.000474703,0.000998941,1.006094695,0.98119386,1.031627,0.000679508,0.001051684,1.004426572,0.991058562,1.017975
Age 11-60 Female,-0.001729531,0.009140877,0.998271964,0.980546068,1.016318,-0.12130563,0.07832719,0.987942716,0.972891521,1.003227,0.000266059,0.001090521,1.003411357,0.976331157,1.031243,5.45E-05,1.15E-03,1.000354507,0.985770279,1.015155
Age 11-60 Male,0.02304635,0.01032423,1.023313969,1.002814813,1.044232,-0.006810455,0.088796487,0.999319186,0.982077398,1.016864,0.000836266,0.001240961,1.010761704,0.97977825,1.042725,0.00172248,0.001297634,1.011259031,0.994678473,1.028116
Age 60+All,0.001354082,0.008035635,1.001354999,0.985707361,1.017251,-0.03662697,0.06901625,0.996344002,0.982957021,1.009913,-0.00036337,0.00095255,0.995359664,0.971854954,1.019433,0.000652885,0.001012468,1.004252767,0.991382259,1.017290
Age 60+ Female,0.002790586,0.009180609,1.002794483,0.984911581,1.021002,-0.07504346,0.07877371,0.992523741,0.977317219,1.007967,0.000650317,0.001087143,1.008358799,0.98122824,1.036240,0.000400167,0.00115677,1.002604471,0.987937182,1.017490
Age 60+ Male,0.000227522,0.00893574,1.000227548,0.982862026,1.017900,-0.00457323,0.07680427,0.999542782,0.984608715,1.014703,-0.001203695,0.001059999,0.984710789,0.958869252,1.011249,0.000868944,0.001125881,1.005664114,0.991342103,1.020193
All: LAG 5,-0.00126662,0.00763283,0.998734182,0.983903981,1.013788,-0.07544765,0.0647847,0.992483625,0.979960939,1.005166,0.000604564,0.000899246,1.007768442,0.985287435,1.030762,-0.000393441,0.000961881,0.997445901,0.985297423,1.009744
Female,-0.003477819,0.008165113,0.996528222,0.980707096,1.012605,-0.10925842,0.06917968,0.989133628,0.975812268,1.002637,0.000741255,0.000961522,1.009533214,0.985471954,1.034182,-0.000740571,0.001028592,0.995197853,0.982241601,1.008325
Male,0.001191969,0.00837041,1.00119268,0.984901114,1.017754,-0.03756482,0.0711856,0.996250565,0.982447021,1.010248,0.000453693,0.000986673,1.005824168,0.981231965,1.031033,-6.30E-06,1.06E-03,0.999959024,0.986605752,1.013493
Warm All,0.011441476,0.006171362,1.01150718,0.999345821,1.023817,0.10872162,0.07028365,1.010931479,0.997100777,1.024954,0.002099022,0.000738349,1.027231671,1.008378702,1.046437,0.001801398,0.000867232,1.011777906,1.000660764,1.023019
Warm Female,0.006962602,0.006803007,1.006986897,0.993648962,1.020504,0.03610509,0.0775028,1.003617035,0.988486751,1.018979,0.001928936,0.000812404,1.02499771,1.004318095,1.046103,0.000972857,0.000957391,1.006343605,0.994143619,1.018693
Warm Male,0.016352226,0.006894313,1.016486655,1.002843407,1.030316,0.18816602,0.07847366,1.01899475,1.003441674,1.034789,0.002288595,0.000826818,1.029727308,1.008587483,1.051310,0.002706688,0.000967174,1.017749149,1.005285601,1.030367
Cold All,-0.018761785,0.009499224,0.981413122,0.963309754,0.999857,-0.15600758,0.06217677,0.984520303,0.972595114,0.996592,-0.00210231,0.001102907,0.973449269,0.946883419,1.000760,-0.002167751,0.001045299,0.986008423,0.972964687,0.999227
Cold Female,-0.017532133,0.009926547,0.982620661,0.96368754,1.001926,-0.168243465,0.065009599,0.983316392,0.970866577,0.995926,-0.001587151,0.001155789,0.979889437,0.951884127,1.008719,-0.002039952,0.001092569,0.986827834,0.973187009,1.000660
Cold Male,-0.02022813,0.01033087,0.979975086,0.960331602,1.000020,-0.142397,0.0675804,0.985861205,0.97288883,0.999007,-0.002684724,0.001195597,0.966219285,0.937667749,0.995640,-0.002319116,0.001136456,0.985038794,0.970879708,0.999404
Age 0-10 All,0.03272213,0.03289324,1.033263386,0.968750075,1.102073,0.001455784,0.27725244,1.000145589,0.947246523,1.055999,0.00189965,0.00399542,1.024613553,0.926888893,1.132642,0.002673111,0.004079509,1.017527049,0.965993935,1.071809
Age 0-10 Female,-0.0501876,0.0408822,0.951050991,0.877817372,1.030394,-0.71663118,0.35753554,0.930844428,0.867846795,0.998415,0.001429328,0.004996355,1.018463785,0.898477912,1.154473,-0.00543908,0.005051618,0.965263633,0.905098381,1.029428
Age 0-10 Male,0.115328285,0.040435855,1.122241792,1.036732571,1.214804,0.63286408,0.33189815,1.065331915,0.998235928,1.136938,0.002533363,0.004862567,1.032958532,0.9143288,1.166980,0.010737587,0.005026784,1.072287606,1.005769668,1.143205
Age 11-60 All,0.001950727,0.008430943,1.001952631,0.985531764,1.018647,-0.0722392,0.07144079,0.99280211,0.978997378,1.006802,0.000598406,0.000997064,1.007689,0.982794965,1.033214,-0.000370088,0.001062747,0.997597321,0.984181484,1.011196
Age 11-60 Female,-0.001494128,0.009227534,0.998506988,0.98061035,1.016730,-0.0821258,0.07796319,0.991821051,0.976780455,1.007093,0.000448735,0.001091544,1.005760329,0.978591639,1.033683,-0.000680168,0.001162128,0.995588664,0.980957053,1.010439
